Entity,Code,Year,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh,Other renewables (including geothermal and biomass) - TWh.1,Biofuels consumption - TWh.1,Solar consumption - TWh.1,Wind consumption - TWh.1,Hydro consumption - TWh.1,Nuclear consumption - TWh.1,Gas consumption - TWh.1,Coal consumption - TWh.1,Oil consumption - TWh.1
Bulgaria,BGR,2016.0,0.529664912162672,0.8725998193809466,1.7434997305013362,1.7899516897737282,4.873596817358818,19.016074339174825,14.663515263481102,31.074288280335026,25.436809147831543,1.128808,1.8596619,3.715701,3.8146982,10.386482,40.52656,31.2505,66.22471,54.210262
Bulgaria,BGR,2017.0,0.5793767399244948,0.8680324501634729,1.7113414314982458,1.834655898790818,3.449717372034111,18.196228849711424,14.729724454878935,32.54292134177536,26.088001461223133,1.2640522,1.8938253,3.7337103,4.002751,7.526403,39.699528,32.1365,71.00035,56.917362
Bulgaria,BGR,2018.0,2.294745761733324,0.8540527150776033,1.6235925779811924,1.5937695100334832,6.222833149940355,18.709635724526947,13.815032797324534,28.994261494705626,25.892076268676934,5.021229,1.8687884,3.5526507,3.4873936,13.616441,40.939335,30.22925,63.443554,56.655533
Bulgaria,BGR,2019.0,2.747512424876413,0.968967021726162,1.7659663798017882,1.640993063624254,3.650213754198743,19.79475437175079,13.381499720635269,27.96368825732186,28.086405006064723,5.812401,2.0498633,3.7359266,3.4715438,7.7220783,41.87608,28.30875,59.157574,59.417183
Bulgaria,BGR,2020.0,2.776544696227617,1.0100271620577508,1.9743084990040043,1.98561482018839,3.791284923985876,21.44598701383412,14.949028939942668,24.74357189490695,27.32363204985263,5.4246435,1.9733294,3.8572834,3.879373,7.407181,41.89986,29.2065,48.34248,53.383244
Bulgaria,BGR,2021.0,3.7243970013945007,0.887878604041287,1.7294680462734715,1.6905095850781902,5.682989494474418,18.656437249343348,14.880873836926764,27.475230654806328,25.27221552766169,8.264272,1.9701633,3.837613,3.7511659,12.610302,41.397808,33.02,60.96632,56.077927
Bulgaria,BGR,2022.0,3.1210365979117034,0.9423537196222124,2.3788687274360583,1.70319845362396,4.321013357072352,17.947291517715488,11.78100336445271,31.684142333694812,26.121091928470697,7.16201,2.1624696,5.4589176,3.9084208,9.915661,41.184612,27.0345,72.7073,59.94147
Bulgaria,BGR,2023.0,3.0253324573438114,1.3693387026732058,4.471010349667579,2.0648447752254464,4.080635860875006,20.234130056610034,12.676434306374585,22.36775377740095,29.710519713829385,6.0285006,2.7286453,8.909265,4.114562,8.131376,40.32002,25.259998,44.571636,59.203373
Croatia,HRV,2000.0,0.0033062667331044,0.0,0.0,0.0,19.76301610443122,0.0,26.613721952245047,5.20007134667648,48.41988432991416,0.0031921945,0.0,0.0,0.0,19.081156,0.0,25.6955,5.0206594,46.74931
Croatia,HRV,2001.0,0.0,0.0,0.0,0.0,20.77948721806139,0.0,26.522925524845625,5.505509884369334,47.19207737272366,0.0,0.0,0.0,0.0,21.094494,0.0,26.925,5.5889707,47.907486
Croatia,HRV,2002.0,0.0,0.0,0.0,0.0,16.806645388357996,0.0,27.126970161769517,6.68529109097831,49.38109335889418,0.0,0.0,0.0,0.0,17.079268,0.0,27.567,6.793734,50.18211
Croatia,HRV,2003.0,0.0,0.0,0.0,0.0,14.887468398230729,0.0,25.77299833922439,7.10676387884488,52.2327693837,0.0,0.0,0.0,0.0,15.828297,0.0,27.401749,7.555883,55.533672
