Entity,Code,Year,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh
European Union (27),,2012,2.5119708394269007,0.9346246888031885,1.0959459314250346,2.9273648124324105,5.164762942153892,12.171433866138694,21.799997714400376,16.98275894744328,36.411140257776225,440.91382,164.05005,192.36597,513.82587,906.5453,2136.3916,3826.4458,2980.8997,6391.0674
European Union (27),,2013,2.6369178482754214,0.8046949016588477,1.304379654127078,3.276591474441184,5.734360865509601,12.098577245044012,21.512855696915548,16.79608736620485,35.83553494782347,459.5592,140.24136,227.32588,571.04083,999.37823,2108.527,3749.2373,2927.204,6245.3784
European Union (27),,2014,2.847266675838091,0.8878201627699704,1.4955247895730408,3.556577611724942,5.941708435931222,12.561130625200972,19.71579523848289,16.548588476600194,36.445587983878674,478.80878,149.29971,251.49397,598.0896,999.1836,2112.3345,3315.4941,2782.8828,6128.849
European Union (27),,2015,2.9042941918404486,0.8851618167275845,1.5752065189629458,4.156450874813851,5.291625929711837,11.92580121056539,20.339658948399066,16.27540323397829,36.64639727500059,495.142,150.90785,268.55093,708.6174,902.14905,2033.1842,3467.6306,2774.7312,6247.704
European Union (27),,2016,2.9029713898816514,0.8755301950256233,1.5533533155008146,4.145624702290736,5.358259789810518,11.452434374019138,21.3991687107272,15.462757827113409,36.8498996956309,500.05527,150.81564,267.57498,714.1102,922.9943,1972.7546,3686.1428,2663.5583,6347.6294
European Union (27),,2017,2.9084803608995085,0.9158183275715724,1.6235394315525389,4.749768810346967,4.4604681936347506,11.085732221808863,22.058858080920228,15.038543814096467,37.158790759169115,508.84424,160.22418,284.04135,830.9812,780.3675,1939.4702,3859.2397,2631.0222,6501.002
European Union (27),,2018,2.9509681455717263,1.0173567586339873,1.7182230475733165,4.862047321971752,5.197520250715364,11.09031067310712,21.712666672024806,14.460111082712679,36.99079604768925,514.72644,177.45377,299.70328,848.0689,906.5842,1934.4418,3787.26,2522.2236,6452.1675
European Union (27),,2019,3.0730157311896407,1.0370265305951258,1.9049619696866564,5.600082490681835,4.873680897127319,11.283745613711362,22.884077024420883,11.844638764092885,37.4987709784943,527.173,177.90094,326.79446,960.68896,836.07544,1935.7161,3925.7422,2031.9368,6432.8794
European Union (27),,2020,3.3783209690827136,1.1909384775622187,2.387927964309281,6.586443792074702,5.725645708067632,10.857944950319121,23.952680047954157,10.556216445510634,35.363881645119534,535.958,188.93794,378.83585,1044.9147,908.3523,1722.5724,3800.0032,1674.7043,5610.3477
European Union (27),,2021,3.38200574613303,1.1730104166914843,2.54257760828389,6.053098497802235,5.43254796108618,10.984438864463746,23.733326666699885,11.4344653197008,35.26452891913874,565.6771,196.1987,425.27365,1012.4463,908.6525,1837.2664,3969.656,1912.5382,5898.3745
European Union (27),,2022,3.446077988084586,1.2686836641864623,3.3974504695383074,6.830274383313762,4.44848611711227,9.484662244890517,21.400910117707262,11.901893025857245,37.82156198930959,553.803,203.88419,545.9883,1097.6613,714.8953,1524.2355,3439.2397,1912.6973,6078.1255
European Union (27),,2023,3.1997815207088602,1.3132804140039267,4.099665923782728,7.968945169704032,5.401459777396241,9.858822528205128,20.397020037250876,9.725260129477517,38.035764499470694,501.15115,205.68654,642.09143,1248.0996,845.97894,1544.093,3194.59,1523.1744,5957.1777
